Column1,Column2,Column3,Column32,Column33,Column4,Column5
013400-99999 ,FET I EIDFJORD                  ,60.42,7.28,737,26/07/2005,13/01/2023
013470-99999 ,SOGNDAL HAUKASEN                ,61.156,7.137,511,18/01/1985,01/02/2023
013500-99999 ,FINSEVATN                       ,60.6,7.533,1208,30/03/2003,01/02/2023
013600-99999 ,BRATA-SLETTOM                   ,61.9,7.9,664,01/01/1973,27/01/2023
013610-99999 ,GROTLI III                      ,62.017,7.667,872,01/01/1973,01/02/2023
013660-99999 ,SOGNEFJELL                      ,61.567,8,1413,01/03/1979,13/01/2023
013670-99999 ,FAGERNES                        ,60.983,9.217,365.4,01/10/1982,01/02/2023
013680-99999 ,LEIRIN                          ,61.016,9.288,822,14/10/1988,19/07/2022
013730-99999 ,NESBYEN-TODOKK                  ,60.567,9.133,166,01/01/1973,15/01/2023
013750-99999 ,KVITFJELL                       ,61.467,10.133,1028,01/01/1973,01/02/2023
013755-99999 ,GULLFAX (PLATFORM)              ,61.033,2.033,10,15/11/1989,01/02/2023
013780-99999 ,LILLEHAMMER-SAETHERENGEN        ,61.1,10.467,239,01/01/1973,01/02/2023
013820-99999 ,KISE                            ,60.767,10.8,128,01/01/1973,01/02/2023
013840-99999 ,GARDERMOEN                      ,60.194,11.1,207.6,11/05/1940,01/02/2023
013850-99999 ,HAMER                           ,60.817,11.067,222.3,24/10/2006,01/02/2023
013890-99999 ,RENA AP                         ,61.183,11.367,255.7,01/01/1973,13/01/2023
013920-99999 ,FLISA II                        ,60.617,12.017,185,18/02/2005,12/01/2023
013970-99999 ,TRYSIL VEGSTASJON               ,61.3,12.267,361.4,01/01/1973,12/01/2023
014000-99999 ,EKOFISK                         ,56.55,3.217,48.8,23/12/1998,01/09/2020
014030-99999 ,UTSIRA FYR                      ,59.3,4.867,56.3,02/01/1928,01/02/2023
014033-99999 ,EKOFISK OIL PLTFRM              ,56.55,3.25,48.8,06/05/1981,01/02/2023
014060-99999 ,SLATTEROY FYR                   ,59.917,5.067,16,01/01/1973,01/02/2023
014080-99999 ,KARMOY                          ,59.345,5.208,26.2,09/09/1984,01/02/2023
014110-99999 ,KVITSOY - NORDBO                ,59.067,5.417,22,12/06/2005,01/02/2023
014150-99999 ,SOLA                            ,58.877,5.638,8.8,10/04/1940,01/02/2023
014250-99999 ,EIK HOVE                        ,58.517,6.517,66,01/01/1973,28/01/2023
014270-99999 ,LISTA FYR                       ,58.117,6.567,14,01/01/1928,12/01/2023
014280-99999 ,LISTA                           ,58.099,6.626,8.8,01/01/1973,30/12/1997
014340-99999 ,VAAGSLI                         ,59.767,7.367,822,06/04/2004,22/01/2023
014410-99999 ,HOVDEN-LUNDANE                  ,59.583,7.383,836,01/01/1983,01/02/2023
014420-99999 ,BYGLANDSFJORD                   ,58.667,7.8,211,01/01/1973,13/01/2023
014470-99999 ,HOYDALSMO II                    ,59.5,8.2,562,21/11/2006,01/02/2023
014480-99999 ,OKSOY FYR                       ,58.067,8.05,8,01/01/1949,13/01/2023
014520-99999 ,KJEVIK                          ,58.204,8.085,17.4,01/05/1940,01/02/2023
014550-99999 ,TVEITSUND                       ,59.033,8.517,252,01/01/1973,30/01/2023
014650-99999 ,TORUNGEN FYR                    ,58.4,8.783,15,01/01/1973,01/02/2023
014670-99999 ,LYNGOR FYR                      ,58.633,9.15,5,01/01/1973,20/01/2023
014690-99999 ,HONEFOSS-HOYBY                  ,60.167,10.25,140,19/07/2005,01/02/2023
014700-99999 ,GVARV                           ,59.383,9.2,93,01/01/1973,14/01/2023
014703-99999 ,NOTODDEN                        ,59.566,9.212,19.2,19/10/1990,01/02/2023
014710-99999 ,VEGGLI II                       ,60.05,9.15,275,03/10/2006,12/01/2023
014730-99999 ,KONGSBERG BRANNSTASJON          ,59.617,9.633,173,10/05/2004,31/01/2023
014770-99999 ,KONNERUD                        ,59.717,10.15,193,01/01/1973,01/02/2023
014800-99999 ,DRAMMEN BERSKOG                 ,59.75,10.133,8,18/02/2005,01/02/2023
014810-99999 ,MELSOM                          ,59.233,10.35,26,19/05/1974,13/01/2023
014820-99999 ,FERDER LH                       ,59.033,10.517,7.7,01/01/1931,01/02/2023
014830-99999 ,TORP                            ,59.183,10.267,88,01/01/1973,12/01/2023
014843-99999 ,OSEBERG                         ,59.317,10.45,15,19/10/1990,01/02/2023
014880-99999 ,HAKADAL                         ,60.117,10.833,170,07/04/1940,01/02/2023
014920-99999 ,OSLO-BLINDERN                   ,59.95,10.717,97,03/08/1973,01/02/2023
014940-99999 ,RYGGE                           ,59.379,10.786,53,01/01/1973,01/02/2023
014950-99999 ,STROMTANGEN FYR                 ,59.15,10.833,10,06/04/2004,01/02/2023
020130-99999 ,RITSEM                          ,67.733,17.467,542.7,01/06/2001,01/02/2023
020200-99999 ,KATTERJAKK                      ,68.417,18.167,517,01/07/1977,31/12/1997
020240-99999 ,STORA SJOFALLET                 ,67.5,18.3,425,01/06/2001,01/02/2023
020290-99999 ,TARFALA                         ,67.917,18.6,1146,01/06/2001,01/02/2023
020310-99999 ,RENSJON                         ,68.067,19.833,493,01/06/2001,01/02/2023
020360-99999 ,NIKKALUOKTA                     ,67.85,19.033,468,01/07/1977,01/02/2023
020380-99999 ,LATNIVAARA                      ,67.25,20.267,453,01/06/2001,01/02/2023
020440-99999 ,KIRUNA                          ,67.822,20.337,459.6,01/07/1977,01/02/2023
020490-99999 ,GALLIVARE                       ,67.132,20.815,313,03/08/1979,01/02/2023
020540-99999 ,NEDRE SOPPERO                   ,68.05,21.75,360,01/01/1955,21/04/2016
020550-99999 ,NAIMAKKA                        ,68.683,21.533,402,01/01/1973,01/02/2023
020640-99999 ,SAITTAROVA                      ,67.333,22.233,240,01/01/1973,01/02/2023
020720-99999 ,PARKALOMPOLO                    ,67.733,22.833,313,01/06/2001,01/02/2023
020800-99999 ,KARESUANDO                      ,68.45,22.45,331,01/01/1935,31/12/1997
020860-99999 ,LAINIO                          ,67.767,22.35,317,01/01/1955,17/03/2005
020950-99999 ,PAJALA                          ,67.2,23.383,171,01/01/1955,01/02/2023
021010-99999 ,HEMAVAN                         ,65.806,15.083,458.1,02/01/1973,01/02/2023
021020-99999 ,STEKENJOKK                      ,65.1,14.517,1036,01/11/1958,01/02/2023
021030-99999 ,HEMAVAN-GIEREVARTO              ,65.783,15.067,793,18/11/1987,01/02/2023
021080-99999 ,KLIMPFJALL                      ,65.067,14.8,593,01/07/1977,21/09/2005
021100-99999 ,GIELAS                          ,65.333,15.067,577,18/05/1987,01/02/2023
021200-99999 ,KVIKKJOKK-ARRENJARKA            ,66.883,18.017,315,01/01/1935,31/12/1997
021205-99999 ,STORUMAN                        ,64.95,17.7,279,19/04/2005,01/02/2023
021210-99999 ,MIERKENIS                       ,66.683,16.117,615,01/06/2001,01/02/2023
021240-99999 ,ARJEPLOG                        ,66.05,17.833,432,05/04/1977,01/02/2023
021280-99999 ,GUNNARN                         ,65,17.7,283,01/01/1973,31/12/1997
021300-99999 ,ROPARUDDEN                      ,66.483,16.417,481,01/01/1973,21/04/2016
021350-99999 ,BURESJON                        ,65.567,17.867,393,01/01/1973,01/02/2023
021410-99999 ,TJAKAAPE                        ,66.317,19.217,582,01/01/1973,01/02/2023
021420-99999 ,JOKKMOKK                        ,66.496,20.147,275.5,01/07/1977,31/12/1997
021440-99999 ,ABRAUR                          ,65.983,18.933,374,01/07/1977,26/06/2004
021470-99999 ,MALA-BRANNAN                    ,65.15,18.6,363,01/01/1973,01/02/2023
021490-99999 ,ARVIDSJAUR                      ,65.6,19.267,384,01/07/2001,01/02/2023
021510-99999 ,JOKKMOKK FPL                    ,66.483,20.167,275,01/01/1973,01/02/2023
